Atherosclerosis Simulation Settings,
VERSION,1.300000
ARTERY_RED, 190
ARTERY_GREEN, 0
ARTERY_BLUE, 0
COLOUR_FOR_MAX_NO_MACROS_R, 255
COLOUR_FOR_MAX_NO_MACROS_G, 210
COLOUR_FOR_MAX_NO_MACROS_B, 0
COLOUR_FOR_1_MACRO_R, 90
COLOUR_FOR_1_MACRO_G, 50
COLOUR_FOR_1_MACRO_B, 0
COLOUR_FOR_MAX_NO_SMCS_R, 1
COLOUR_FOR_MAX_NO_SMCS_G, 239
COLOUR_FOR_MAX_NO_SMCS_B, 57
COLOUR_FOR_1_SMC_R, 1
COLOUR_FOR_1_SMC_G, 51
COLOUR_FOR_1_SMC_B, 46
COLOUR_FOR_MAX_NO_LIPIDS_R, 255
COLOUR_FOR_MAX_NO_LIPIDS_G, 255
COLOUR_FOR_MAX_NO_LIPIDS_B, 255
COLOUR_FOR_1_LIPID_R, 100
COLOUR_FOR_1_LIPID_G, 100
COLOUR_FOR_1_LIPID_B, 100
RateOfMacrophagesHittingArtery,8760
SMCMacroInhibition,10
LipidArrivalRate,55049
LipidRemovalRate,13
RateOfSMCHittingArtery,8760
Number of surrounding cells,Rate of Macrophage death
0,10.831719
18,2.540939
36,1.332159
54,1.029106
72,0.849279
90,0.646739
108,0.590418
126,0.500799
144,0.449469
162,0.432753
180,0.416229
198,0.416229
216,0.432753
234,0.466381
252,0.466381
270,0.203939
288,0.190054
306,0.162763
324,0.162763
342,0.162763
360,0.273237
Number of surrounding cells,Rate of Macrophage arrival
0,0.084587
18,99.000000
36,99.000000
54,97.846710
72,95.579880
90,99.000000
108,97.846710
126,97.846710
144,96.706718
162,95.579880
180,99.000000
198,96.706718
216,96.706718
234,96.706718
252,99.000000
270,97.846710
288,94.466034
306,87.020615
324,99.000000
342,99.000000
360,97.846710
Number of surrounding cells,Rate of SMC arrival
0,0.000000
18,0.000000
36,0.500799
54,1.076732
72,4.014780
90,12.918000
108,20.627813
126,28.241184
144,90.137634
162,90.137634
180,87.020615
198,85.002052
216,85.002052
234,85.002052
252,85.002052
270,85.002052
288,85.002052
306,86.005478
324,87.020615
342,93.365028
360,95.579880
