ELECTION,CANDID,CANDNAME,OFFICECD,OFFICEBORO,OFFICEDIST,CANCLASS,PRIMARYPAY,GENERALPAY,RUNOFFPAY,TOTALPAY
1999,BW,"Moskowitz, Eva S",5,,4,P,0,91333,0,91333
1999,207,"Nelson, Michael C",5,,48,P,0,20244,0,20244
1999,214,"Oddo, James S",5,,50,P,0,75350,0,75350
1999,204,"Quinn, Christine C",5,,3,P,0,10684,0,10684
1999,CM,"Sollazzo, John",5,,50,P,0,75350,0,75350
1999A,213,"Dweck, Joseph A",5,,48,P,0,21564,0,21564
1999A,212,"Hikind, Libby N",5,,50,P,0,63208,0,63208
1999A,215,"Kamaras, Philip L",5,,48,P,0,0,0,0
1999A,210,"Kramer, Irma R",5,,48,P,0,70016,0,70016
1999A,AL,"Lees, Aubrey",5,,3,P,0,75150,0,75150
1999A,G2,"Levin, Lew Y",5,,48,P,0,44928,0,44928
1999A,203,"Lynn, Christopher R",5,,3,P,0,71700,0,71700
1999A,206,"Manzano, Carlos",5,,3,P,0,75350,0,75350
1999A,207,"Nelson, Michael C",5,,48,P,0,67968,0,67968
1999A,214,"Oddo, James S",5,,50,P,0,75350,0,75350
1999A,204,"Quinn, Christine C",5,,3,P,0,75350,0,75350
1999A,211,"Sclar, Alan M",5,,48,P,0,72620,0,72620
1999A,CM,"Sollazzo, John",5,,50,P,0,75350,0,75350
2001A,361,"Rivera, Joel",5,,15,P,0,39204,0,39204
2002A,711,"Gonzalez, Sara M",5,,38,P,0,62224,0,62224
2002A,714,"Rodriguez, Edward",5,,38,P,0,57376,0,57376
2003A,WC,"Espada, Jr., Pedro",5,,18,P,0,82250,0,82250
2003A,717,"Gentile, Vincent J",5,,43,P,0,86300,0,86300
2003A,719,"Harrison, Stephen A",5,,43,P,0,78192,0,78192
2003A,16,"O Keefe, Rosemarie C",5,,43,P,0,82250,0,82250
2003A,320,"Scissura, Carlo A",5,,43,P,0,64456,0,64456
2003A,C2,"Seminara, Joanne",5,,43,P,0,82500,0,82500
2005A,833,"Alicea, William",5,,17,P,0,67214,0,67214
2005A,838,"Arroyo, Maria",5,,17,P,0,1733,0,1733
2007A,1086,"Eugene, Mathieu",5,,40,P,0,0,0,0
2007A,1088,"Gordon, Karlene A",5,,40,P,0,0,0,0
2007A,1084,"Hamilton, Jesse E",5,,40,P,0,0,0,0
2007A,1078,"Ignizio, Vincent M",5,,51,P,0,82500,0,82500
2007A,1077,"Innamorato, Emanuele",5,,51,P,0,70553,0,70553
