Chart 3.1: Under 25 year olds (excluding full-time education): workless who have never had a job ,,

Date,Inactive Never had paid job,ILO unemployed Never had paid job
Q1 1995,249.56475,176
AJ95,253.7835,175
JS95,252.268,178
OD95,259.6795,183
Q1 1996,262.63175,186
AJ96,270.06875,187
JS96,279.46625,182
OD96,281.804,187
Q1 1997,281.71325,193
AJ97,277.02325,191
JS97,240.12075,185
OD97,230.4825,177
Q1 1998,225.02625,166
AJ98,221.65675,162
JS98,219.4565,154
OD98,216.6535,152
Q1 1999,217.56,150
AJ99,218.97825,150
JS99,228.04575,149
OD99,236.2455,148
Q1 2000,243.628,148
AJ00,247.0945,147
JS00,249.28925,148
OD00,231.666,137
Q1 2001,234.924,138
AJ01,236.847,138
JS01,242.73225,134
OD01,265.2025,147
Q1 2002,267.8355,148
AJ02,277.92925,148
JS02,288.66125,153
OD02,292.338,154
Q1 2003,294.2475,158
AJ03,295.48125,159
JS03,301.15875,164
OD03,314.567,166
Q1 2004,320.1905,163
AJ04,333.094,163
JS04,344.02025,168
OD04,352.307,172
Q1 2005,364.66075,174
AJ05,372.47725,178
JS05,376.34975,176
OD05,380.51225,183
Q1 2006,382.74625,190
AJ06,388.27125,198
JS06,395.75075,208
OD06,407.797,207
Q1 2007,420.17425,211
AJ07,423.33325,214
JS07,428.40825,210
OD07,426.09775,211
Q1 2008,423.93825,208
AJ08,427.14525,207
JS08,423.1705,214
OD08,412.992,223
Q1 2009,409.60625,229
AJ09,410.634,237
JS09,413.40675,241
OD09,416.357,243
Q1 2010,420.053,253
AJ10,417.789,260,,,
JS10,423.15625,267,,,
OD10,438.569,273,,,
Q1 2011,429.696,277,,,
AJ11,420.1185,286,,,
JS11,405.16925,300,,,
OD11,387.03875,313,,,
Q1 2012,383.896,318,,,
AJ12,381.7415,320,,,

Source: BIS analysis of Labour Force Survey. 4 quarter rolling average. See Annex D for further information. ,,,,,


Chart 3.2:  Employment rate of 16-17 and 18-24 by participation in full-time education,,,,,
Per cent of age group ,,,,,
,,16-17 in Full Time Education,16-17 Not in Full Time Education,18-24 in Full Time Education,18-24 not in Full Time Education
,,FTE,not FTE,FTE,not FTE
Mar-May 1992,33695,0.386069781,0.659489199,0.288893916,0.724838888
Apr-Jun 1992,33725,0.388727586,0.64201944,0.294863224,0.720389595
May-Jul 1992,33756,0.381821227,0.645643716,0.293357721,0.716315419
Jun-Aug 1992,33786,0.375405692,0.664158707,0.295915401,0.717854627
Jul-Sep 1992,33817,0.368947569,0.678855431,0.295676563,0.722620857
Aug-Oct 1992,33848,0.352845688,0.67302152,0.298102292,0.719984669
Sep-Nov 1992,33878,0.347027049,0.668716027,0.294062872,0.718068325
Oct-Dec 1992,33909,0.346610442,0.654423948,0.287735085,0.714064621
Nov-Jan 1993,33939,0.338989067,0.650535973,0.285648723,0.714488999
Dec-Feb 1993,33970,0.326673387,0.65830087,0.291433893,0.711658511
Jan-Mar 1993,34001,0.333132414,0.641031059,0.289011392,0.708858073
Feb-Apr 1993,34029,0.32794625,0.630423326,0.288589654,0.70316888
Mar-May 1993,34060,0.327136824,0.635504539,0.289510336,0.704078365
Apr-Jun 1993,34090,0.32507206,0.643166834,0.281910723,0.705645725
May-Jul 1993,34121,0.334919902,0.63653759,0.284338098,0.707390941
Jun-Aug 1993,34151,0.334712307,0.639888854,0.28850261,0.70897437
Jul-Sep 1993,34182,0.338001687,0.631488304,0.306876816,0.709929756
Aug-Oct 1993,34213,0.343724025,0.626164173,0.308954461,0.711102851
Sep-Nov 1993,34243,0.350141095,0.625127987,0.308535205,0.709370769
Oct-Dec 1993,34274,0.349669245,0.620164211,0.308430825,0.706916488
Nov-Jan 1994,34304,0.350389437,0.62376718,0.309532234,0.70478548
Dec-Feb 1994,34335,0.352437144,0.638746009,0.302751956,0.710850509
Jan-Mar 1994,34366,0.353834339,0.63937893,0.303010421,0.713214084
Feb-Apr 1994,34394,0.358205437,0.642929053,0.305076614,0.7153414
Mar-May 1994,34425,0.355989447,0.639831557,0.310148967,0.71402345
Apr-Jun 1994,34455,0.362132817,0.640721348,0.297636515,0.715800967
May-Jul 1994,34486,0.352724713,0.633993016,0.303713528,0.715803214
Jun-Aug 1994,34516,0.348761305,0.648730857,0.298045349,0.710489402
Jul-Sep 1994,34547,0.348562687,0.632911552,0.305669562,0.713482071
Aug-Oct 1994,34578,0.355042645,0.62264638,0.301058513,0.711532017
Sep-Nov 1994,34608,0.344073783,0.641582532,0.300196386,0.719748349
Oct-Dec 1994,34639,0.345397595,0.642681157,0.299039875,0.719359316
